Cursusnaam,Categorie,Prijs Excl BTW,Geldigheidsduur (Jaren),Cursusduur / Dagdelen,Certificaattype,Cursuscode,Omschrijving,Herkomst CMS
"VCA basis lesdag en examen","VCA","1.00","10","1 dag (2 dagdelen)","SSVV / VCA Diploma","VCA -10","Officiële VCA basis lesdag en examen opleiding verzorgd door Edusafe","Edusafe Surlinio CMS"
"VCA basis online voorleesexamen VGM","VCA","0.00","10","1 dag (2 dagdelen)","SSVV / VCA Diploma","VCA -10","Officiële VCA basis online voorleesexamen VGM opleiding verzorgd door Edusafe","Edusafe Surlinio CMS"
"VCA VOL Cursusdag en examen","VCA","1.00","10","1 dag (2 dagdelen)","SSVV / VCA Diploma","VCA -10","Officiële VCA VOL Cursusdag en examen opleiding verzorgd door Edusafe","Edusafe Surlinio CMS"
"VCA Vol examen VGM","VCA","0.00","10","1 dag (2 dagdelen)","SSVV / VCA Diploma","VCA -10","Officiële VCA Vol examen VGM opleiding verzorgd door Edusafe","Edusafe Surlinio CMS"
"VCA vol inclusief lesdag VGM","VCA","0.00","10","1 dag (2 dagdelen)","SSVV / VCA Diploma","VCA -10","Officiële VCA vol inclusief lesdag VGM opleiding verzorgd door Edusafe","Edusafe Surlinio CMS"
"VCA VOL NIBHV","VCA","0.00","10","1 dag (2 dagdelen)","SSVV / VCA Diploma","VCA -10","Officiële VCA VOL NIBHV opleiding verzorgd door Edusafe","Edusafe Surlinio CMS"
"VCA-B NIBHV","VCA","1.00","10","1 dag (2 dagdelen)","SSVV / VCA Diploma","VCA--10","Officiële VCA-B NIBHV opleiding verzorgd door Edusafe","Edusafe Surlinio CMS"
"VCA-VOL examen","VCA","95.00","10","1 dag (2 dagdelen)","SSVV / VCA Diploma","VCA--10","Officiële VCA-VOL examen opleiding verzorgd door Edusafe","Edusafe Surlinio CMS"
"VCU","VCA","1.00","1","1 dag (2 dagdelen)","Edusafe Certificaat & Pasje","VCU-1","Officiële VCU opleiding verzorgd door Edusafe","Edusafe Surlinio CMS"
"Veilig werken met de heftruck","OVERIG","200.00","1","1 dag (2 dagdelen)","Edusafe Certificaat & Pasje","VEIL-1","Officiële Veilig werken met de heftruck opleiding verzorgd door Edusafe","Edusafe Surlinio CMS"
"W.S. Reanimatie / AED","BHV","60.00","1","1 dag (2 dagdelen)","Edusafe Certificaat & Pasje","W.S.-1","Officiële W.S. Reanimatie / AED opleiding verzorgd door Edusafe","Edusafe Surlinio CMS"
"Workshop","OVERIG","0.00","1","1 dag (2 dagdelen)","Edusafe Certificaat & Pasje","WORK-1","Officiële Workshop opleiding verzorgd door Edusafe","Edusafe Surlinio CMS"
