Cursusdatum,Cursusnaam,Locatienaam,Docent / Trainer,Status / Deelnemers,Herkomst CMS
"EHBO herhaling","05-03-2026","09:00 - 12:00","EHBO herhaling","Sportfondsen","Edusafe Surlinio CMS"
"BHV","03-03-2026","09:00 - 16:30","BHV","KHN Zuid Holland (Hotel Den haag-Wassenaar)","Edusafe Surlinio CMS"
"EHBO basis","02-03-2026","09:00 - 16:30","EHBO basis","Edusafe (Ambu)","Edusafe Surlinio CMS"
"EHAK basis","02-03-2026","09:00 - 16:30","EHAK basis","Edusafe (Ambu)","Edusafe Surlinio CMS"
"EHAK herhaling","02-03-2026","09:00 - 16:30","EHAK herhaling","Edusafe (Ambu)","Edusafe Surlinio CMS"
"BHV herhaling","26-02-2026","09:00 - 16:30","BHV herhaling","Landgoed te Werve","Edusafe Surlinio CMS"
"BHV herhaling","26-02-2026","09:00 - 13:00","BHV herhaling","World Forum The Hague","Edusafe Surlinio CMS"
"BHV","25-02-2026","09:00 - 13:00","BHV","Mensen met een Missie","Edusafe Surlinio CMS"
"EHBO basis","24-02-2026","19:00 - 22:00","EHBO basis","Sportfondsen","Edusafe Surlinio CMS"
"BHV herhaling B & O","24-02-2026","19:00 - 22:00","BHV herhaling B & O","Edusafe","Edusafe Surlinio CMS"
"BHV","23-02-2026","11:00 - 16:30","BHV","Dushi Huis","Edusafe Surlinio CMS"
"EHBO herhaling","19-02-2026","09:00 - 12:00","EHBO herhaling","Sportfondsen Oostervant","Edusafe Surlinio CMS"
"BHV","18-02-2026","13:00 - 17:00","BHV","Alexander Hotel","Edusafe Surlinio CMS"
"BHV","16-02-2026","10:00 - 16:30","BHV","Hudson","Edusafe Surlinio CMS"
"BHV","16-02-2026","09:00 - 13:00","BHV","Inge de Bruijn Zwembad","Edusafe Surlinio CMS"
"EHBO herhaling","10-02-2026","18:30 - 21:30","EHBO herhaling","Sportfondsen Oostervant","Edusafe Surlinio CMS"
"BHV","10-02-2026","09:00 - 13:00","BHV","Ortec","Edusafe Surlinio CMS"
"BHV","09-02-2026","09:00 - 16:30","BHV","Westcord Hotel","Edusafe Surlinio CMS"
"BHV","05-02-2026","09:00 - 16:30","BHV","Golden Tulip Hotel Zoetermeer","Edusafe Surlinio CMS"
"EHBO herhaling","04-02-2026","09:00 - 16:30","EHBO herhaling","Golden Tulip Hotel Zoetermeer","Edusafe Surlinio CMS"
"BHV","02-02-2026","10:00 - 14:00","BHV","The New Farm","Edusafe Surlinio CMS"
"BHV","29-01-2026","10:30 - 16:15","BHV","Dushi Huis, Nijmegen","Edusafe Surlinio CMS"
"BHV","27-01-2026","09:00 - 16:30","BHV","Golden Tulip Hotel Zoetermeer","Edusafe Surlinio CMS"
"BHV","26-01-2026","10:00 - 14:00","BHV","Scarlatti","Edusafe Surlinio CMS"
"EHAK basis","26-01-2026","09:00 - 16:30","EHAK basis","Edusafe (Ambu)","Edusafe Surlinio CMS"
"EHAK herhaling","26-01-2026","09:00 - 16:30","EHAK herhaling","Edusafe (Ambu)","Edusafe Surlinio CMS"
"BHV","26-01-2026","09:00 - 16:30","BHV","Kasteel de Hooge Vuursche","Edusafe Surlinio CMS"
"BHV","21-01-2026","09:00 - 13:00","BHV","Starcuisine","Edusafe Surlinio CMS"
"BHV","20-01-2026","09:00 - 16:30","BHV","Golden Tulip Noordwijk","Edusafe Surlinio CMS"
"BHV","20-01-2026","09:00 - 13:00","BHV","'t Vliegend Paard","Edusafe Surlinio CMS"
"BHV","19-01-2026","10:00 - 14:00","BHV","Scarlatti","Edusafe Surlinio CMS"
"EHBO basis","19-01-2026","09:00 - 16:30","EHBO basis","Edusafe (Ambu)","Edusafe Surlinio CMS"
"BHV","13-01-2026","09:00 - 13:00","BHV","Edusafe","Edusafe Surlinio CMS"
